instruction,price,side,qty,time
newOrder,10529,0,58698,1685304279
newOrder,24999,1,58698,1685304279
cancel,10529,,,1685304854
cancel,17549,,,1685304854
cancel,19080,,,1685304854
cancel,24999,,,1685304854
newOrder,17549,0,16446,1685304877
newOrder,19080,1,16446,1685304877
newOrder,10529,0,86817,1685304877
newOrder,24999,1,86817,1685304877
cancel,10529,,,1685305455
cancel,17549,,,1685305455
cancel,19080,,,1685305455
cancel,24999,,,1685305455
newOrder,17567,0,16608,1685305480
newOrder,19080,1,16608,1685305480
newOrder,10540,0,55136,1685305480
newOrder,24999,1,55136,1685305480
cancel,10540,,,1685306055
cancel,17567,,,1685306055
cancel,19080,,,1685306055
cancel,24999,,,1685306055
newOrder,17567,0,16610,1685306078
newOrder,19080,1,16610,1685306078
newOrder,10540,0,60003,1685306078
newOrder,24999,1,60003,1685306078
cancel,10540,,,1685306654
cancel,17567,,,1685306654
cancel,19080,,,1685306654
cancel,24999,,,1685306654
newOrder,17567,0,16612,1685306677
newOrder,19080,1,16612,1685306677
newOrder,10540,0,44972,1685306677
newOrder,24999,1,44972,1685306677
cancel,10540,,,1685307254
cancel,17567,,,1685307254
cancel,19080,,,1685307254
cancel,24999,,,1685307254
newOrder,17535,0,16332,1685307276
newOrder,19080,1,16332,1685307276
newOrder,10521,0,66110,1685307276
newOrder,24999,1,66110,1685307276
cancel,10521,,,1685307855
cancel,17535,,,1685307855
cancel,19080,,,1685307855
cancel,24999,,,1685307855
newOrder,17546,0,16430,1685307878
newOrder,19080,1,16430,1685307878
newOrder,15111,0,12963,1685307878
cancel,15111,,,1685308454
cancel,17546,,,1685308454
cancel,19080,,,1685308454
newOrder,17547,0,16439,1685308478
newOrder,19080,1,16439,1685308478
newOrder,12202,0,29930,1685308478
newOrder,24957,1,29930,1685308478
cancel,12202,,,1685309054
cancel,17547,,,1685309054
cancel,19080,,,1685309054
cancel,24957,,,1685309054
newOrder,17546,0,16433,1685309078
newOrder,19080,1,16433,1685309078
newOrder,12202,0,18378,1685309078
newOrder,24957,1,18378,1685309078
cancel,12202,,,1685309656
cancel,17546,,,1685309656
cancel,19080,,,1685309656
cancel,24957,,,1685309656
newOrder,17546,0,16434,1685309680
newOrder,19080,1,16434,1685309680
newOrder,10528,0,74446,1685309680
newOrder,24999,1,74446,1685309680
cancel,10528,,,1685310254
cancel,17546,,,1685310254
cancel,19080,,,1685310254
cancel,24999,,,1685310254
newOrder,17545,0,16427,1685310277
newOrder,19080,1,16427,1685310277
newOrder,12202,0,23005,1685310277
newOrder,24957,1,23005,1685310277
cancel,12202,,,1685310854
cancel,17545,,,1685310854
cancel,19080,,,1685310854
cancel,24957,,,1685310854
newOrder,17546,0,16437,1685310878
newOrder,19080,1,16437,1685310878
newOrder,10528,0,85113,1685310878
newOrder,24999,1,85113,1685310878
cancel,10528,,,1685311456
cancel,17546,,,1685311456
cancel,19080,,,1685311456
cancel,24999,,,1685311456
newOrder,17546,0,16438,1685311484
newOrder,19080,1,16438,1685311484
newOrder,10528,0,43128,1685311484
newOrder,24999,1,43128,1685311484
cancel,10528,,,1685312054
cancel,17546,,,1685312054
cancel,19080,,,1685312054
cancel,24999,,,1685312054
newOrder,17547,0,16447,1685312077
newOrder,19080,1,16447,1685312077
newOrder,10528,0,38876,1685312077
newOrder,24957,1,38876,1685312077
cancel,10528,,,1685312655
cancel,17547,,,1685312655
cancel,19080,,,1685312655
cancel,24957,,,1685312655
newOrder,17546,0,16440,1685312677
newOrder,19080,1,16440,1685312677
newOrder,12162,0,33643,1685312677
newOrder,24957,1,33643,1685312677
cancel,12162,,,1685313255
cancel,17546,,,1685313255
cancel,19080,,,1685313255
cancel,24957,,,1685313255
newOrder,17547,0,16450,1685313280
newOrder,19080,1,16450,1685313280
newOrder,10528,0,62710,1685313280
