instruction,price,side,qty,time
cancel,363,,,1683863541
cancel,605,,,1683863541
newOrder,364,0,14,1683863571
newOrder,605,1,14,1683863571
cancel,364,,,1683864142
cancel,605,,,1683864142
newOrder,362,0,13,1683864174
newOrder,605,1,13,1683864174
cancel,362,,,1683864741
cancel,605,,,1683864741
newOrder,365,0,14,1683864777
newOrder,605,1,14,1683864777
cancel,365,,,1683865341
cancel,605,,,1683865341
newOrder,365,0,14,1683865375
newOrder,605,1,14,1683865375
cancel,365,,,1683865940
cancel,605,,,1683865940
newOrder,364,0,14,1683865971
newOrder,605,1,14,1683865971
cancel,364,,,1683866540
cancel,605,,,1683866540
newOrder,364,0,14,1683866573
newOrder,605,1,14,1683866573
cancel,364,,,1683867142
cancel,605,,,1683867142
newOrder,364,0,14,1683867171
newOrder,605,1,14,1683867171
cancel,364,,,1683867741
cancel,605,,,1683867741
newOrder,365,0,14,1683867771
newOrder,605,1,14,1683867771
cancel,365,,,1683868341
cancel,605,,,1683868341
newOrder,365,0,14,1683868370
newOrder,605,1,14,1683868370
cancel,365,,,1683868941
cancel,605,,,1683868941
newOrder,364,0,14,1683868974
newOrder,605,1,14,1683868974
cancel,364,,,1683869541
cancel,605,,,1683869541
newOrder,364,0,14,1683869574
newOrder,605,1,14,1683869574
newOrder,345,0,17,1683869574
newOrder,749,1,17,1683869574
cancel,345,,,1683870141
cancel,364,,,1683870141
cancel,605,,,1683870141
cancel,749,,,1683870141
newOrder,363,0,13,1683870172
newOrder,605,1,13,1683870172
newOrder,345,0,42,1683870172
newOrder,749,1,42,1683870172
cancel,345,,,1683870742
cancel,363,,,1683870742
cancel,605,,,1683870742
cancel,749,,,1683870742
newOrder,357,0,12,1683870776
newOrder,605,1,12,1683870776
newOrder,345,0,22,1683870776
newOrder,749,1,22,1683870776
cancel,345,,,1683871341
cancel,357,,,1683871341
cancel,605,,,1683871341
cancel,749,,,1683871341
newOrder,357,0,12,1683871373
newOrder,605,1,12,1683871373
newOrder,345,0,39,1683871373
newOrder,749,1,39,1683871373
cancel,345,,,1683871941
cancel,357,,,1683871941
cancel,605,,,1683871941
cancel,749,,,1683871941
newOrder,357,0,12,1683871973
newOrder,605,1,12,1683871973
newOrder,345,0,41,1683871973
newOrder,749,1,41,1683871973
cancel,345,,,1683872541
cancel,357,,,1683872541
cancel,605,,,1683872541
cancel,749,,,1683872541
newOrder,355,0,12,1683872574
newOrder,605,1,12,1683872574
newOrder,345,0,41,1683872574
newOrder,749,1,63,1683872574
cancel,345,,,1683873141
cancel,355,,,1683873141
cancel,605,,,1683873141
cancel,749,,,1683873141
newOrder,355,0,12,1683873172
newOrder,605,1,12,1683873172
newOrder,345,0,41,1683873172
newOrder,749,1,54,1683873172
cancel,345,,,1683873741
cancel,355,,,1683873741
cancel,605,,,1683873741
cancel,749,,,1683873741
newOrder,357,0,12,1683873773
newOrder,605,1,12,1683873773
newOrder,345,0,36,1683873773
newOrder,749,1,36,1683873773
cancel,345,,,1683874341
cancel,357,,,1683874341
cancel,605,,,1683874341
cancel,749,,,1683874341
newOrder,359,0,12,1683874372
newOrder,605,1,12,1683874372
newOrder,345,0,48,1683874372
newOrder,749,1,48,1683874372
cancel,345,,,1683874941
cancel,359,,,1683874941
cancel,605,,,1683874941
cancel,749,,,1683874941
newOrder,360,0,13,1683874973
newOrder,605,1,13,1683874973
newOrder,345,0,62,1683874973
newOrder,749,1,65,1683874973
cancel,345,,,1683875541
cancel,360,,,1683875541
cancel,605,,,1683875541
cancel,749,,,1683875541
newOrder,359,0,12,1683875573
newOrder,605,1,12,1683875573
newOrder,345,0,58,1683875573
newOrder,749,1,58,1683875573
cancel,345,,,1683876140
cancel,359,,,1683876140
cancel,605,,,1683876140
cancel,749,,,1683876140
newOrder,361,0,13,1683876172
newOrder,605,1,13,1683876172
newOrder,345,0,58,1683876172
newOrder,749,1,58,1683876172
cancel,345,,,1683876741
cancel,361,,,1683876741
cancel,605,,,1683876741
cancel,749,,,1683876741
newOrder,362,0,13,1683876772
newOrder,605,1,13,1683876772
newOrder,345,0,11,1683876772
newOrder,749,1,11,1683876772
cancel,345,,,1683877341
cancel,362,,,1683877341
cancel,605,,,1683877341
cancel,749,,,1683877341
newOrder,362,0,13,1683877374
newOrder,605,1,13,1683877374
newOrder,345,0,59,1683877374
newOrder,749,1,59,1683877374
cancel,345,,,1683877941
cancel,362,,,1683877941
cancel,605,,,1683877941
cancel,749,,,1683877941
newOrder,362,0,13,1683877971
newOrder,605,1,13,1683877971
newOrder,345,0,60,1683877971
newOrder,749,1,60,1683877971
cancel,345,,,1683878540
cancel,362,,,1683878540
cancel,605,,,1683878540
cancel,749,,,1683878540
newOrder,362,0,13,1683878571
newOrder,605,1,13,1683878571
newOrder,345,0,51,1683878571
newOrder,749,1,51,1683878571
cancel,345,,,1683879141
cancel,362,,,1683879141
cancel,605,,,1683879141
cancel,749,,,1683879141
newOrder,362,0,13,1683879173
newOrder,605,1,13,1683879173
newOrder,345,0,61,1683879173
newOrder,749,1,61,1683879173
cancel,345,,,1683879741
cancel,362,,,1683879741
cancel,605,,,1683879741
cancel,749,,,1683879741
newOrder,361,0,13,1683879773
newOrder,605,1,13,1683879773
newOrder,345,0,20,1683879773
newOrder,749,1,20,1683879773
cancel,345,,,1683880340
cancel,361,,,1683880340
cancel,605,,,1683880340
cancel,749,,,1683880340
newOrder,360,0,13,1683880372
newOrder,605,1,13,1683880372
newOrder,345,0,44,1683880372
newOrder,749,1,44,1683880372
cancel,345,,,1683880941
cancel,360,,,1683880941
cancel,605,,,1683880941
cancel,749,,,1683880941
newOrder,361,0,13,1683880970
newOrder,605,1,13,1683880970
cancel,361,,,1683881541
cancel,605,,,1683881541
newOrder,362,0,13,1683881580
newOrder,605,1,13,1683881580
cancel,362,,,1683882140
cancel,605,,,1683882140
newOrder,362,0,13,1683882172
newOrder,605,1,13,1683882172
cancel,362,,,1683882740
cancel,605,,,1683882740
newOrder,363,0,13,1683882770
newOrder,605,1,13,1683882770
cancel,363,,,1683883341
cancel,605,,,1683883341
newOrder,364,0,13,1683883373
newOrder,605,1,13,1683883373
cancel,364,,,1683883941
cancel,605,,,1683883941
newOrder,364,0,13,1683883972
newOrder,605,1,13,1683883972
cancel,364,,,1683884541
cancel,605,,,1683884541
newOrder,366,0,14,1683884572
newOrder,605,1,14,1683884572
cancel,366,,,1683885140
cancel,605,,,1683885140
newOrder,366,0,14,1683885170
newOrder,605,1,14,1683885170
cancel,366,,,1683885740
cancel,605,,,1683885740
newOrder,366,0,14,1683885773
newOrder,605,1,14,1683885773
newOrder,345,0,31,1683885773
newOrder,749,1,31,1683885773
cancel,345,,,1683886340
cancel,366,,,1683886340
cancel,605,,,1683886340
cancel,749,,,1683886340
newOrder,366,0,14,1683886372
newOrder,605,1,14,1683886372
newOrder,345,0,60,1683886372
newOrder,749,1,60,1683886372
cancel,345,,,1683886941
cancel,366,,,1683886941
cancel,605,,,1683886941
cancel,749,,,1683886941
newOrder,371,0,15,1683886971
newOrder,605,1,15,1683886971
cancel,371,,,1683887540
cancel,605,,,1683887540
newOrder,371,0,15,1683887570
newOrder,605,1,15,1683887570
cancel,371,,,1683888140
cancel,605,,,1683888140
newOrder,370,0,15,1683888176
newOrder,605,1,15,1683888176
cancel,370,,,1683888741
cancel,605,,,1683888741
newOrder,370,0,15,1683888771
newOrder,605,1,15,1683888771
cancel,370,,,1683889341
cancel,605,,,1683889341
newOrder,370,0,15,1683889373
newOrder,605,1,15,1683889373
cancel,370,,,1683889940
cancel,605,,,1683889940
newOrder,370,0,15,1683889972
newOrder,605,1,15,1683889972
cancel,370,,,1683890541
cancel,605,,,1683890541
newOrder,371,0,15,1683890570
newOrder,605,1,15,1683890570
cancel,371,,,1683891141
cancel,605,,,1683891141
newOrder,371,0,15,1683891170
newOrder,605,1,15,1683891170
cancel,371,,,1683891741
cancel,605,,,1683891741
newOrder,370,0,15,1683891771
newOrder,605,1,15,1683891771
cancel,370,,,1683892341
cancel,605,,,1683892341
newOrder,371,0,15,1683892373
newOrder,605,1,15,1683892373
cancel,371,,,1683892940
cancel,605,,,1683892940
newOrder,369,0,14,1683892973
newOrder,605,1,14,1683892973
newOrder,369,0,5,1683892973
